Ticker,Sector,Price,VALUE,QUALITY,GROWTH,MOMENTUM,COMPOSITE,RANK
BNY,Financial Services,144.61,0.04,0.49,-0.05,0.49,0.24,32
DDOG,Technology,260.36,-1.04,-0.4,0.72,1.68,0.24,33
AMCR,Consumer Cyclical,43.35,0.38,-0.59,1.45,-0.27,0.24,34
AAPL,Technology,289.36,-0.78,1.62,0.0,0.1,0.23,35
CI,Healthcare,275.68,2.13,-0.4,-0.36,-0.45,0.23,36
CVS,Healthcare,103.45,1.15,-0.63,-0.23,0.59,0.22,37
BRK-B,Financial Services,500.39,1.02,0.2,-0.13,-0.26,0.21,38
CB,Financial Services,340.74,0.65,0.2,-0.05,0.0,0.2,39
BAC,Financial Services,56.98,0.6,0.46,-0.26,-0.0,0.2,40
AIZ,Financial Services,268.53,0.61,-0.14,0.02,0.27,0.19,41
CAH,Healthcare,237.56,1.85,-1.36,-0.29,0.36,0.14,42
CRWD,Technology,763.14,-0.94,-0.55,0.85,1.11,0.12,43
BKNG,Consumer Cyclical,178.24,-0.28,0.75,0.57,-0.57,0.12,44
CSCO,Technology,117.46,-0.7,0.26,-0.1,0.96,0.1,45
ARES,Financial Services,111.31,-0.75,-0.34,2.37,-0.93,0.09,46
T,Communication Services,20.7,1.74,-0.01,-0.53,-0.87,0.08,47
AMP,Financial Services,458.76,0.17,0.71,-0.12,-0.46,0.07,48
BIIB,Healthcare,216.06,0.2,-0.04,-0.45,0.57,0.07,49
AIG,Financial Services,74.53,1.26,-0.08,-0.49,-0.46,0.06,50
SCHW,Financial Services,92.27,-0.17,0.7,0.02,-0.35,0.05,51
BBY,Consumer Cyclical,75.88,0.97,-0.28,-0.43,-0.05,0.05,52
ADM,Consumer Defensive,76.4,0.9,-0.49,-0.54,0.25,0.03,53
COR,Healthcare,282.98,1.07,-0.25,-0.13,-0.59,0.03,54
COF,Financial Services,200.62,0.27,-0.63,0.9,-0.43,0.03,55
AVB,Real Estate,188.69,-0.08,0.66,-0.4,-0.07,0.03,56
BLK,Financial Services,961.56,-0.15,0.37,0.4,-0.55,0.02,57
BRO,Financial Services,64.15,0.24,0.1,0.54,-0.84,0.01,58
CVNA,Consumer Cyclical,65.82,-0.65,0.07,1.12,-0.53,0.0,59
CHTR,Communication Services,142.21,2.71,-0.83,-0.6,-1.32,-0.01,60
CPAY,Technology,333.27,-0.33,0.09,0.36,-0.2,-0.02,61
KO,Consumer Defensive,81.27,-0.56,0.59,-0.15,-0.01,-0.03,62
CME,Financial Services,220.83,-0.12,0.9,-0.07,-0.84,-0.03,63
BKR,Energy,55.5,0.12,-0.12,-0.16,-0.01,-0.04,64
DVN,Energy,41.32,0.7,0.01,-0.8,-0.09,-0.05,65
BALL,Consumer Cyclical,62.4,0.22,-0.39,-0.01,-0.01,-0.05,66
AEP,Utilities,136.81,0.05,-0.15,-0.24,0.13,-0.05,67
CMI,Industrials,713.21,-0.56,-0.14,-0.56,1.06,-0.05,68
CTSH,Technology,38.73,1.68,-0.02,-0.39,-1.47,-0.05,69
DECK,Consumer Cyclical,99.29,-0.0,0.49,-0.29,-0.42,-0.06,70
ED,Utilities,110.63,0.41,-0.21,-0.36,-0.11,-0.07,71
CASY,Consumer Cyclical,794.79,-0.47,-0.32,0.05,0.47,-0.07,72
DVA,Healthcare,222.48,0.28,-1.37,-0.28,1.09,-0.07,73
AME,Industrials,241.94,-0.55,0.26,-0.19,0.17,-0.08,74
ATO,Utilities,172.27,0.09,0.37,-0.53,-0.25,-0.08,75
ABNB,Consumer Cyclical,143.1,-0.68,0.41,0.0,-0.07,-0.09,76
ADBE,Technology,205.02,0.06,0.94,-0.16,-1.21,-0.09,77
DLR,Real Estate,179.58,-0.42,0.12,0.13,-0.21,-0.1,78
AJG,Financial Services,229.57,-0.24,-0.16,0.57,-0.59,-0.11,79
CDNS,Technology,375.32,-0.94,0.31,0.07,0.12,-0.11,80
CSX,Industrials,47.53,-0.53,0.16,-0.47,0.38,-0.11,81
DXCM,Healthcare,67.35,-0.57,0.39,0.14,-0.44,-0.12,82
A,Healthcare,132.83,-0.43,0.26,-0.11,-0.2,-0.12,83
CBOE,Financial Services,242.67,-0.29,0.54,-0.24,-0.51,-0.12,84
AMZN,Consumer Cyclical,238.34,-0.48,0.04,0.14,-0.21,-0.13,85
AEE,Utilities,113.04,0.05,-0.1,-0.42,-0.05,-0.13,86
LNT,Utilities,76.29,-0.13,-0.09,-0.42,0.08,-0.14,87
CCL,Consumer Cyclical,28.57,0.4,-0.26,-0.44,-0.29,-0.15,88
AON,Financial Services,331.69,-0.29,0.39,-0.31,-0.38,-0.15,89
CTVA,Basic Materials,84.69,-0.23,-0.26,-0.2,0.09,-0.15,90
ADSK,Technology,194.42,-0.61,0.47,0.62,-1.09,-0.15,91
CPT,Real Estate,114.49,-0.33,0.19,-0.57,0.07,-0.16,92
BMY,Healthcare,57.62,-0.1,-0.08,-0.48,0.01,-0.16,93
CMS,Utilities,76.5,0.01,-0.35,-0.19,-0.16,-0.17,94
ADP,Technology,223.95,-0.46,0.72,-0.34,-0.62,-0.17,95
CHRW,Industrials,188.34,-0.47,-0.22,-0.59,0.59,-0.17,96
CRH,Basic Materials,107.0,0.03,-0.19,-0.21,-0.35,-0.18,97
AXP,Financial Services,338.25,-0.34,0.03,-0.17,-0.27,-0.19,98
COP,Energy,103.96,0.31,-0.05,-0.81,-0.23,-0.2,99
AKAM,Technology,118.21,-0.42,-0.3,-0.44,0.36,-0.2,100
AWK,Utilities,131.58,-0.06,0.02,-0.42,-0.35,-0.2,101
APD,Basic Materials,293.18,-0.42,-0.02,-0.23,-0.14,-0.2,102
CBRE,Real Estate,134.69,-0.08,-0.46,0.27,-0.55,-0.2,103
CDW,Technology,140.64,0.19,-0.38,-0.27,-0.38,-0.21,104
TECH,Healthcare,70.65,-0.77,-0.17,-0.3,0.37,-0.22,105
ALGN,Healthcare,168.66,-0.19,-0.06,-0.33,-0.31,-0.22,106
CPRT,Industrials,28.19,-0.04,0.76,-0.52,-1.1,-0.22,107
BF-B,Consumer Defensive,26.65,0.02,0.15,-0.69,-0.37,-0.22,108
BDX,Healthcare,151.33,0.23,-0.4,-0.46,-0.27,-0.23,109
DRI,Consumer Cyclical,206.01,-0.26,-0.38,-0.05,-0.23,-0.23,110
ALLE,Industrials,140.49,-0.23,0.13,-0.3,-0.53,-0.23,111
AXON,Industrials,560.61,-0.98,-0.3,0.74,-0.41,-0.24,112
COST,Consumer Defensive,935.47,-0.58,-0.23,0.22,-0.39,-0.24,113
AMGN,Healthcare,362.12,-0.6,-0.04,-0.39,0.04,-0.25,114
CVX,Energy,165.76,0.18,-0.28,-0.63,-0.26,-0.25,115
ACN,Technology,124.44,0.87,0.04,-0.39,-1.52,-0.25,116
XYZ,Technology,76.0,-0.12,-0.42,-0.48,0.02,-0.25,117
AOS,Industrials,62.72,-0.05,0.17,-0.68,-0.48,-0.26,118
APTV,Consumer Cyclical,61.38,0.74,-0.6,-0.45,-0.74,-0.26,119
CNP,Utilities,44.04,-0.11,-0.45,-0.51,-0.0,-0.27,120
COO,Healthcare,71.71,-0.08,-0.35,-0.29,-0.35,-0.27,121
CLX,Consumer Defensive,95.44,0.32,-0.17,-0.58,-0.66,-0.27,122
AVY,Consumer Cyclical,162.35,-0.03,-0.26,-0.35,-0.48,-0.28,123
FANG,Energy,175.78,-0.01,-0.49,-0.64,-0.03,-0.29,124
BXP,Real Estate,66.31,-0.09,-0.53,-0.4,-0.16,-0.29,125
DHR,Healthcare,190.48,-0.28,-0.01,-0.44,-0.47,-0.3,126
BAX,Healthcare,21.32,0.73,-0.99,-0.61,-0.35,-0.31,127
BSX,Healthcare,42.68,0.11,0.13,0.05,-1.52,-0.31,128
CTAS,Industrials,170.08,-0.7,0.36,-0.28,-0.63,-0.31,129
AZO,Consumer Cyclical,3195.94,-0.12,-0.21,-0.3,-0.63,-0.31,130
BR,Technology,136.95,-0.0,0.17,-0.3,-1.18,-0.33,131
CHD,Consumer Defensive,96.88,-0.47,-0.06,-0.58,-0.21,-0.33,132
CRL,Healthcare,226.79,-0.24,-0.88,-0.72,0.52,-0.33,133
BA,Industrials,216.47,-0.76,-0.37,0.1,-0.31,-0.33,134
CCI,Real Estate,75.73,-0.51,1.04,-1.11,-0.76,-0.34,135
CARR,Industrials,73.35,-0.5,-0.38,-0.62,0.13,-0.34,136
CL,Consumer Defensive,91.68,-0.71,-0.21,-0.33,-0.13,-0.35,137
BX,Financial Services,117.67,-0.65,0.35,-0.4,-0.73,-0.36,138
CSGP,Real Estate,28.32,-0.08,-0.49,0.65,-1.52,-0.36,139
ABT,Healthcare,90.74,-0.19,-0.05,-0.39,-0.9,-0.38,140
ARE,Real Estate,52.85,1.18,-0.8,-1.53,-0.45,-0.4,141
AMT,Real Estate,163.57,-0.64,-0.19,-0.17,-0.67,-0.42,142
MMM,Industrials,161.91,-0.64,-0.21,-0.65,-0.22,-0.43,143
DE,Industrials,634.33,-0.54,-0.72,-0.97,0.5,-0.43,144
CMG,Consumer Cyclical,34.0,-0.63,-0.05,-0.4,-0.68,-0.44,145
STZ,Consumer Defensive,139.09,0.18,0.07,-1.53,-0.5,-0.44,146
ABBV,Healthcare,251.64,-0.87,-0.86,-0.31,0.2,-0.46,147
BLDR,Industrials,89.48,0.35,-0.62,-1.45,-0.75,-0.62,148
APO,Financial Services,118.31,-0.47,-0.49,-1.39,-0.57,-0.73,149
COIN,Financial Services,146.19,-0.44,-0.13,-1.53,-1.42,-0.88,150
